5,73.28,14.13
8,60.58,39.44
4,10.92,2.37
7,0.63,82.24
9,64.40,96.84
7,1.33,75.05
2,60.07,12.10
3,84.30,28.31
4,77.65,17.77
3,55.80,72.75
7,23.10,7.22
2,1.94,8.98
7,35.24,85.34
2,15.89,28.80
2,56.14,29.05
7,48.73,87.21
9,79.36,45.50
9,98.14,86.23
5,65.29,83.25
3,61.28,92.64
10,56.57,53.94
5,1.74,19.76
6,53.96,27.94
1,70.47,3.59
1,50.70,2.26
6,44.77,96.66
1,21.80,49.82
5,36.70,33.29
5,72.79,72.86
7,36.94,59.74
5,25.38,86.99
5,28.91,6.14
2,72.61,26.30
9,24.69,40.97
1,12.45,42.56
9,71.91,73.37
4,89.08,22.77
4,9.78,92.33
1,6.11,71.38
10,62.20,91.22
7,81.63,78.95
6,43.79,68.85
3,62.56,19.43
7,70.39,73.33
4,49.67,86.49
6,41.49,67.52
10,94.01,97.15
9,25.24,46.91
2,68.46,26.17
1,60.17,2.60
