8,14.42,5.24
1,38.85,69.93
2,80.07,82.93
10,14.18,31.81
9,70.92,42.69
5,55.56,38.66
5,44.92,34.55
7,44.01,12.32
6,97.06,22.56
10,4.40,99.66
8,38.60,35.99
5,85.43,44.69
1,44.60,82.41
2,92.09,1.78
1,10.68,25.33
1,28.64,86.65
9,26.81,45.46
9,72.28,79.63
3,82.94,99.99
10,16.69,48.04
1,55.51,42.26
1,74.72,33.58
10,64.50,24.18
4,40.92,60.87
2,25.63,42.42
10,69.16,12.72
1,55.46,46.67
10,73.29,12.89
2,70.35,44.19
2,25.16,75.60
5,83.21,10.24
7,52.97,18.18
8,91.60,42.83
6,69.94,64.39
5,82.32,74.03
4,92.37,73.20
9,5.78,26.78
7,9.92,64.45
5,3.70,25.54
3,43.75,5.21
4,79.51,69.01
2,49.45,53.48
8,33.89,18.12
5,28.14,21.46
8,37.01,32.53
1,34.01,28.69
1,93.98,77.31
5,74.89,84.68
2,85.67,76.87
8,69.47,66.25
