9,18.36,39.30
8,62.01,74.43
7,95.10,86.93
5,87.84,58.13
10,85.07,0.34
8,21.09,98.72
2,25.64,15.34
7,28.15,77.44
1,12.01,38.06
7,22.68,41.88
8,56.86,71.08
7,0.32,86.92
4,86.15,4.01
7,88.10,73.22
5,29.49,71.87
6,83.29,61.38
10,9.66,88.66
5,48.86,85.59
2,16.88,16.25
8,33.63,57.53
8,31.41,69.23
5,85.72,74.86
1,25.95,73.38
6,38.23,39.88
8,14.34,47.45
10,62.14,66.52
4,87.17,86.14
4,52.47,53.80
2,75.92,74.88
10,91.56,61.36
6,26.67,77.44
2,37.29,92.23
9,32.59,4.90
8,90.89,17.38
4,7.53,76.43
3,7.97,20.74
8,11.84,90.91
5,2.85,37.80
7,84.34,86.67
5,44.68,22.84
9,1.20,53.46
4,6.83,91.87
10,66.57,99.49
4,66.65,64.68
10,83.26,53.00
4,85.77,90.15
1,23.07,42.47
5,8.17,6.89
6,82.57,18.96
3,9.16,4.47
